time,vpos
0,25.194688500386942
3600,26.6179876682557
7200,28.178797096771852
10800,31.725604175528154
14400,42.508285570478876
18000,69.47883235826873
21600,49.48142980443343
25200,2.82306286465062
28800,9.431757288238337
32400,-3.4744185846841704
36000,-2.82833025201697
39600,-3.043146967329279
43200,-6.407625677927832
46800,-8.49851912828819
50400,-9.68405359030336
54000,-7.8210061368103965
57600,-10.132437245134904
61200,-10.908517506174512
64800,-11.00270543564882
68400,-11.424821108538676
72000,-11.629874335054831
75600,-11.613850787436727
79200,-11.558904844531185
82800,-12.407641687232243
86400,0.44375154669388667
90000,0.9134171296438691
93600,1.6694669279252699
97200,3.222667917544692
100800,4.635838657080779
104400,17.267636530964424
108000,55.39125331995551
111600,99.99999999999662
115200,-39.61181650886009
118800,-58.792274654126075
122400,-99.99999999999983
126000,-99.99999999999866
129600,-99.99999999999999
133200,-99.99999999959624
136800,-100.0
140400,-55.769308389579884
144000,-7.471884643338835
147600,-8.786232580784173
151200,-9.838470188961784
154800,-10.175677629445314
158400,-10.533283327419287
162000,-10.502194415033955
165600,-10.435638563108315
169200,-10.916972910345327
172800,-11.216258974924326
176400,-28.624985887846595
180000,-44.56823265661649
183600,-46.00598850596863
187200,-47.39157209749942
190800,-42.96582675520848
194400,-27.63400875019165
198000,18.580541438973906
201600,-72.8964167834905
205200,-99.99999999999783
208800,-100.0
212400,-99.99999999999311
216000,-99.99999999999997
219600,-100.0
223200,-99.99999999999999
226800,-99.9999999999852
230400,-5.843406529393731
234000,-7.958882157797274
237600,-8.439783961868656
241200,-9.037375790288213
244800,-9.321056331026142
248400,-9.769014329043019
252000,-10.276372795481354
255600,-10.861176282317848
259200,-11.219588784343129
