time,cair.T
0,293.15
3600,292.97288427543884
7200,292.86344414436167
10800,292.7822046734242
14400,292.6989624855066
18000,292.65254851933196
21600,293.0281290967048
25200,293.78542239910774
28800,294.01010182549624
32400,294.09068840961504
36000,294.2310107675689
39600,294.26291189914537
43200,294.31722427727203
46800,294.34701168286614
50400,294.31154531299717
54000,294.23036553655453
57600,294.15115518901945
61200,294.079298296703
64800,293.862726128999
68400,293.77243336477204
72000,293.5706449945774
75600,293.4823840951654
79200,293.38033374788347
82800,293.27890871423574
86400,293.1248987157111
90000,293.00051325099054
93600,292.89495209120247
97200,292.76381828448365
100800,292.6761322806426
104400,292.59790348798504
108000,292.53258684989413
111600,292.90491235430767
115200,293.815973823032
118800,294.478953574003
122400,295.0214947484854
126000,295.4955056790489
129600,295.58169098633874
133200,295.6010129993854
136800,295.5802286348011
140400,295.47493312304647
144000,295.2902242115079
147600,295.036374935819
151200,294.71636667904505
154800,294.44011766424126
158400,294.3483017252943
162000,294.24936704992655
165600,293.9072429323752
169200,293.81181133517305
172800,293.72145794160195
176400,293.6243420577817
180000,293.42905800884444
183600,293.28256361950343
187200,293.1402191802346
190800,293.04376683337006
194400,292.9274431860318
198000,293.15400568642303
201600,293.5054483093677
205200,294.3273954800599
208800,295.1493754755229
212400,295.9473891234256
216000,296.7139218359953
219600,297.44545099624355
223200,297.3987060492741
226800,297.2820496541812
230400,297.0994503206767
234000,296.86650355990577
237600,296.5663123832597
241200,296.2437995764327
244800,295.9166964242888
248400,295.57683269401565
252000,295.23570400867555
255600,294.89755773040594
259200,294.7961808182484
