time,cair.T
0,293.15
3600,292.96843295653883
7200,292.7899233295337
10800,292.78192194310134
14400,292.8629306670778
18000,292.8983776871616
21600,293.327675767882
25200,294.00174184847924
28800,294.15
32400,294.29420146339464
36000,294.4238854121785
39600,294.4529672652142
43200,294.463328972636
46800,294.44994796076696
50400,294.3913962861849
54000,294.3197540775455
57600,294.1750592641959
61200,293.858610463594
64800,293.5229280027699
68400,293.18867944119756
72000,292.90862765349186
75600,292.8277158563419
79200,292.7046534123633
82800,292.61238122795015
86400,292.52447309173573
90000,292.5075266409157
93600,292.6494979911676
97200,292.689199226739
100800,292.581645472307
104400,292.7176514328289
108000,292.8351506192608
111600,293.2009148423807
115200,294.0740663857861
118800,294.5698662053197
122400,295.1103691718521
126000,295.58261190305456
129600,295.668182344434
133200,295.6870137741807
136800,295.6656838779379
140400,295.5599032460475
144000,295.37471410443294
147600,295.12038559668684
151200,294.7994334103001
154800,294.47067467080836
158400,294.1332652407417
162000,293.7946434026774
165600,293.4553400955703
169200,293.1180221641426
172800,292.8306227134835
176400,292.83972973751185
180000,292.9891823113984
183600,292.729407217786
187200,292.6001236134749
190800,292.49913974068147
194400,292.49611872263444
198000,292.72492587599015
201600,293.0792440595836
205200,293.72252358817985
208800,294.56419135643694
212400,295.3806998736645
216000,296.1652280236674
219600,296.9138396895095
223200,296.8702959682093
226800,296.75669217938105
230400,296.5771453900439
234000,296.3478780157567
237600,296.0509739074596
241200,295.73169988747185
244800,295.4262570017628
248400,295.18862445868535
252000,295.1062327871492
255600,295.07830827581165
259200,294.98211458300284
