time,vpos
144000,-7.32505002702816
147600,-8.029939992724072
151200,-9.297698967068502
154800,-10.055091536066632
158400,-10.355946199964555
162000,-10.520318587351696
165600,-10.554810744715482
169200,-10.669779280642427
172800,-10.941668859443695
176400,-11.259776209296872
180000,-11.444511642750774
