time,qr
0,504.03307858085986
3600,531.2686799039101
7200,565.3878544957465
10800,633.5915632428668
14400,849.1250208174995
18000,1388.232201926915
21600,991.4258586941531
25200,58.09042934184195
28800,193.8066873280511
32400,-72.18238827031317
36000,-56.12370257128354
39600,-60.996612661403994
43200,-129.12166745573387
46800,-171.9867651651376
50400,-189.76009112620758
54000,-157.50199654515467
57600,-200.76217030373488
61200,-216.06806208823855
64800,-218.2296592426078
68400,-226.54496142325578
72000,-230.10977016011313
75600,-231.08902155956957
79200,-23.646838704893877
82800,-29.57858600738396
86400,-27.552350673277832
90000,-21.28150530844029
93600,-6.316479804870038
97200,23.39920175817979
100800,49.522585793024234
104400,294.9435406617283
108000,1048.4269639940096
111600,1999.9999999999432
115200,-807.3777585326594
118800,-1197.6036565594072
122400,-1999.9999999997735
126000,-2000.0
129600,-2000.0
133200,-1999.9999999984275
136800,-2000.0
140400,-1138.3171550340505
144000,-146.5010005405632
147600,-173.35491208161366
151200,-195.72304645811877
154800,-202.55669726754635
158400,-209.81253739949776
162000,-210.97610650612276
165600,-208.38172505133463
169200,-499.29481377385
172800,-729.8863364375754
176400,-756.508949524206
180000,-788.9498204533334
183600,-810.280043359771
187200,-834.5668238543867
190800,-731.2262806598396
194400,-404.90736356323714
198000,567.0304025364986
201600,-1440.043637405976
205200,-1999.99999999869
208800,-1999.9999999999925
212400,-1999.9999999999998
216000,-2000.0
219600,-1999.9999999999998
223200,-1999.999999999878
226800,-1999.999999999785
230400,-1999.999999999785
234000,-1058.020967654648
237600,-137.3694236970249
241200,-168.32396095513485
244800,-180.4137071072462
248400,-186.26757306251272
252000,-195.20485192755726
255600,-205.18995771977086
259200,-216.86232322248125
