time,cair.T
0,293.15
3600,293.1298714165707
7200,293.1177414753196
10800,293.1004045497847
14400,293.0811232903847
18000,293.0982552588342
21600,293.531516837132
25200,294.10291653682555
28800,294.15
32400,294.29590562177094
36000,294.4359249294624
39600,294.4627572355446
43200,294.50156513242166
46800,294.5234489770052
50400,294.4868536272632
54000,294.40466879150495
57600,294.31421209612586
61200,294.24139129818934
64800,294.1481642466513
68400,294.054871326399
72000,293.97313712218704
75600,293.8825101903776
79200,293.7779806530112
82800,293.6740439875873
86400,293.57359794221645
90000,293.5087201972575
93600,293.4445013418093
97200,293.3796739504465
100800,293.3229562345983
104400,293.25621237998536
108000,293.19644055127077
111600,293.3244010199022
115200,293.98693838198244
118800,294.4865319271752
122400,295.0308042129911
126000,295.50611445433157
129600,295.5923578507259
133200,295.6116733695637
136800,295.5908042688222
140400,295.4854730530576
144000,295.4654792630553
147600,295.454867157651
151200,295.37656881521553
154800,295.28921874156026
158400,295.1918622787675
162000,295.09249389255865
165600,294.99033908069606
169200,294.88876120399914
172800,294.79215181462433
176400,294.68861048006926
180000,294.58264606716716
183600,294.4490757096825
187200,294.28993542761145
190800,294.10353098171726
194400,293.88343101219783
198000,293.6867515856309
201600,293.5454181346057
205200,294.1785050788629
208800,295.00948985829507
212400,295.81584816488026
216000,296.5903450231462
219600,297.3292668301861
223200,297.2832501744206
226800,297.16727114369013
230400,296.98535298689706
234000,296.9975085209812
237600,296.9404812595034
241200,296.86003916711314
244800,296.77361266596125
248400,296.6734269227342
252000,296.5709608422986
255600,296.4698099137775
259200,296.3594383233373
