time,qr
0,-176.12681540733973
3600,-188.64454303573845
7200,-196.83365574757627
10800,-175.94617946081743
14400,1341.2858851975436
18000,1930.9169626553046
21600,1608.1076680076674
25200,57.697732604957814
28800,145.02693169925706
32400,-103.79042283289272
36000,-54.333200491522035
39600,-60.17124589012096
43200,-128.1941087399814
46800,-172.35538363025665
50400,-191.90190739623526
54000,-156.5897629769241
57600,-200.69161618605668
61200,-216.49658471891757
64800,-218.9188752086173
68400,-227.00044962529364
72000,-231.23155333737827
75600,-231.11419901873538
79200,-230.13531119876407
82800,-245.56808889437616
86400,-245.47674365305505
90000,-245.54597182454376
93600,-236.7358457520032
97200,-231.88269854301768
100800,454.52133330280026
104400,742.7089191932156
108000,1569.7767986563372
111600,1999.9999999999995
115200,-560.7430479633989
118800,-1052.0856515332296
122400,-1999.9999999998922
126000,-2000.0
129600,-2000.0
133200,-1999.9999999999998
136800,-1999.9999999999998
140400,-954.4984241380604
144000,-149.1897818192328
147600,-175.32564335507917
151200,-197.04778153984202
154800,-203.64024308263885
158400,-210.21162465419818
162000,-210.1551304629937
165600,-208.6636645453642
169200,-216.4963141620438
172800,-223.04664233908494
176400,-229.52726145381655
180000,-235.44548682074014
183600,-223.45543778438486
187200,-205.38725402884347
190800,-657.1955894209761
194400,-1279.3808961714076
198000,-679.6616570393826
201600,-1542.2068815910732
205200,-2000.0
208800,-1999.9999999996799
212400,-1999.9999999950169
216000,-1999.9999999968077
219600,-1999.9999999999998
223200,-2000.0
226800,-1999.9999999997349
230400,-116.441426042962
234000,-158.99576290937577
237600,-178.2444759959531
241200,-183.1547529948907
244800,-189.9526349970191
248400,-200.77447466050413
252000,-200.77447466050413
255600,-205.20416656653757
259200,-216.85764277541364
