time,x0
0,293.15
3600,293.04579910998706
7200,292.9463633494124
10800,292.8407846482047
14400,292.735855378953
18000,292.8532442235517
21600,293.4597863330981
25200,294.1599425830405
28800,294.14465697785266
32400,294.3082878880244
36000,294.43558432023013
39600,294.4559026510608
43200,294.48753092142294
46800,294.4938918128458
50400,294.4363699541325
54000,294.33100368348255
57600,294.22178403311136
61200,294.12497088322726
64800,294.00596998914784
68400,293.88679508214636
72000,293.7784688787349
75600,293.6608153473236
79200,293.5294688687984
82800,293.3989878243386
86400,293.270198327728
90000,293.1330671932918
93600,292.9967060766729
97200,292.86219715276695
100800,292.75466107555263
104400,292.73163614565743
108000,292.7565337810526
111600,293.0741933140423
115200,293.9813512904447
118800,294.6556455835709
122400,295.3111245608638
126000,295.7808406782591
129600,295.8651427385721
133200,295.8829096664855
136800,295.86049774902983
140400,295.75363418913236
144000,295.6952933402423
147600,295.66541049592263
151200,295.5646435962678
154800,295.45209002838476
158400,295.3286322660982
162000,295.20223276019084
165600,295.07371924929026
169200,294.94611781285334
172800,294.8226713890963
176400,294.69189664505797
180000,294.55823279643715
183600,294.4217650693665
187200,294.2867619966321
190800,294.1583520477207
194400,293.98301669770063
198000,293.8023033963409
201600,293.8216772375978
205200,294.50248599778075
208800,295.32287301717804
212400,296.11927879610255
216000,296.88409319237246
219600,297.6138260805026
223200,297.566095883724
226800,297.4485111468455
230400,297.2649588614104
234000,297.26115262878363
237600,297.1833714386133
241200,297.0799476131289
244800,296.96992588612784
248400,296.8452660087414
252000,296.7368283530296
255600,296.6205088876534
259200,296.4942242346477
