time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.7768103900234,0.0,0.0
7200,19.66555535887852,0.0,0.0
10800,19.747665726840694,0.0,0.0
14400,19.737848345966484,0.0,0.0
18000,19.715599229763484,0.0,0.0
21600,20.022390695525303,0.0,0.0
25200,20.776351634453476,0.0,0.0
28800,21.0,0.0,0.0
32400,21.244924231495872,0.0,0.0
36000,21.316724120944286,0.0,0.0
39600,21.308997636623474,0.0,0.0
43200,21.37528810281316,0.0,0.0
46800,21.354371023729072,0.0,0.0
50400,21.07400923041041,0.0,0.0
54000,21.0281846653279,0.0,0.0
57600,21.000000000000057,0.0,0.0
61200,20.738888237237575,0.0,0.0
64800,20.534717872936653,0.0,0.0
68400,20.311408611670856,0.0,0.0
72000,20.111893959246345,0.0,0.0
75600,19.93670793629599,0.0,0.0
79200,19.6570755041094,0.0,0.0
82800,19.509036663059135,0.0,0.0
86400,19.458589991888175,0.0,0.0
90000,19.380800318364436,0.0,0.0
93600,19.31060766129417,0.0,0.0
97200,19.417346136741514,0.0,0.0
100800,19.57268415348875,0.0,0.0
104400,19.42225039891889,0.0,0.0
108000,19.383927905132623,0.0,0.0
111600,19.528422295499297,0.0,0.0
115200,20.444563410818034,0.0,0.0
118800,20.95313334620448,0.0,0.0
122400,21.50593421636222,0.0,0.0
126000,21.98865081737256,0.0,0.0
129600,22.077428609826313,0.0,0.0
133200,22.09879690485519,0.0,0.0
136800,22.09233924125772,0.0,0.0
140400,21.989396776117985,0.0,0.0
144000,21.88808199529052,0.0,0.0
147600,21.68665197463622,0.0,0.0
151200,21.416664859610307,0.0,0.0
154800,21.340694990561758,0.0,0.0
158400,21.003040629106295,0.0,0.0
162000,20.66446505479462,0.0,0.0
165600,20.374094585953685,0.0,0.0
169200,20.168386697491997,0.0,0.0
172800,19.839604407769116,0.0,0.0
176400,19.67748704594578,0.0,0.0
180000,19.40922901531036,0.0,0.0
183600,19.557571269624816,0.0,0.0
187200,19.70439929594272,0.0,0.0
190800,19.85390369988596,0.0,0.0
194400,20.01018789624453,0.0,0.0
198000,20.235307723627443,0.0,0.0
201600,20.585139936448513,0.0,0.0
205200,21.539224394009864,0.0,0.0
208800,22.353270926974915,0.0,0.0
212400,23.14372870269358,0.0,0.0
216000,23.902765333314107,0.0,0.0
219600,24.627045386434474,0.0,0.0
223200,24.57837938030559,0.0,0.0
226800,24.459941097355852,0.0,0.0
230400,24.275558546399452,0.0,0.0
234000,24.040557711609722,0.0,0.0
237600,23.82385995138077,0.0,0.0
241200,23.64164592147904,0.0,0.0
244800,23.569174868757045,393057.3489399314,0.0
248400,23.44820981030574,-224029.81481853113,0.0
252000,23.298992558380235,-1598795.1085795087,0.0
255600,23.188758216641077,-1881958.4100404035,0.0
259200,23.084233259588927,-1733873.4585788334,0.0
