time,cair.T
0,293.15
3600,293.06734213786774
7200,292.99124151457295
10800,292.90949928745755
14400,292.8257116635745
18000,292.9047688725313
21600,293.4028677747874
25200,294.03888875417977
28800,294.15
32400,294.2959365028502
36000,294.4356834157888
39600,294.4626426022993
43200,294.5015735958854
46800,294.52336558980045
50400,294.4864472992855
54000,294.4042694680121
57600,294.3138100476305
61200,294.2414295095458
64800,294.1383338201647
68400,294.0451628775087
72000,293.9659933916953
75600,293.8768224389217
79200,293.77281698758924
82800,293.6696393168281
86400,293.57033746677484
90000,293.46241813354294
93600,293.354755177107
97200,293.2478827342089
100800,293.1664181873119
104400,293.17295781317836
108000,293.1923869854372
111600,293.39992836102806
115200,294.05696562445934
118800,294.5549386885359
122400,295.09767233093214
126000,295.57164626594033
129600,295.6574245098972
133200,295.6763694376227
136800,295.65513411029883
140400,295.5494387399168
144000,295.49749408932837
147600,295.4873399119169
151200,295.40888703469153
154800,295.32109161170456
158400,295.2232945674445
162000,294.8784823793984
165600,294.7774556954805
169200,294.6770697802041
172800,294.33696923916204
176400,294.2361209200492
180000,294.13287196181864
183600,294.027878216759
187200,293.92273559951536
190800,293.90672063167875
194400,293.89896103484983
198000,293.928972071787
201600,293.96209521684193
205200,294.58360958561263
208800,295.4013411743388
212400,296.19525325913247
216000,296.95764168563034
219600,297.68507463840837
223200,297.63691650264616
226800,297.5189323177815
230400,297.3349717587783
234000,297.2769157939176
237600,297.21847542690483
241200,297.1366349229615
244800,297.04885687893153
248400,296.94698844705874
252000,296.8425636636845
255600,296.73967381575363
259200,296.62784192212814
