time,x0
0,293.15
3600,293.067228411739
7200,292.99056276247194
10800,292.99399544987693
14400,292.99542574067397
18000,293.033153517924
21600,293.48840556823984
25200,294.08129655597855
28800,294.15
32400,294.29600042069177
36000,294.43602908726416
39600,294.4635344990131
43200,294.502019346099
46800,294.5238922505275
50400,294.4872265758046
54000,294.4048784711744
57600,294.314675454731
61200,294.2421961826239
64800,294.14905664226484
68400,294.0556480051638
72000,293.97370262704345
75600,293.88278256472586
79200,293.77813042054476
82800,293.6741065161825
86400,293.57351930832834
90000,293.4644718910814
93600,293.3561008788573
97200,293.3072344652469
100800,293.28410819488573
104400,293.2595791269331
108000,293.21885713480805
111600,293.34826647508254
115200,293.99596540260825
118800,294.49535034532084
122400,295.03942424772504
126000,295.5145624660815
129600,295.6007461651167
133200,295.62001406376675
136800,295.59909752039846
140400,295.49371792133337
144000,295.46960581962736
147600,295.45912302192045
151200,295.38084381699946
154800,295.29332640526684
158400,295.19560479208593
162000,295.0956640456523
165600,294.9935377825308
169200,294.8920790634982
172800,294.79568760850003
176400,294.69265607186935
180000,294.5873321801207
183600,294.47947839430753
187200,294.37130565514167
190800,294.23212489706793
194400,294.0560182574524
198000,293.8849713768866
201600,293.74230768885104
205200,294.36992604437637
208800,295.1946492406731
212400,295.9951271933768
216000,296.76390326342425
219600,297.49739588736384
223200,297.45036680263667
226800,297.33343905609206
230400,297.1505553903316
234000,297.16176557074664
237600,297.10387746402506
241200,297.0225679028549
244800,296.9352374631935
248400,296.83401693237295
252000,296.7302964473665
255600,296.6281186638224
259200,296.51691506922054
