time,qr
0.0,0.0
3600.0,79.55830262659123
7200.0,700.0615139831502
10800.0,1095.5324460699496
14400.0,1060.1742580954478
18000.0,1694.7795407346453
21600.0,1868.751779804044
25200.0,2061.8102105466087
28800.0,1985.0040441931758
32400.0,1711.3414050775398
36000.00000000006,1283.0040411268983
39600.00000000006,763.8584615644003
43200.00000000006,218.10136749276103
46800.00000000006,-336.6041644656693
50400.00000000006,-863.0889405951435
54000.00000000006,-1321.4939842353344
57600.00000000006,-1673.2405456461133
61200.00000000006,-1894.3576779560342
64800.00000000006,-1969.7766140115061
68400.00000000006,-1895.7778638488728
72000.00000000006,-1686.1651785933561
75600.00000000006,-1347.6593540161512
79200.00000000006,-986.789715357802
82800.00000000006,-741.2493655741496
86400.00000000006,-357.7049009611822
90000.00000000006,-132.64369021474664
93600.0,427.8268937576593
97200.0,835.2127771418418
100800.0,1160.8229985648875
104400.0,1741.1869950031132
108000.0,1932.3330499957804
111600.0,2076.5043728354767
115200.0,1966.5008683741194
118800.0,1735.1219399903798
122400.0,1292.4842657629056
126000.0,780.677886267006
129600.0,222.49259267943947
133200.0,-350.6077986900811
136800.0,-870.8185176721893
140400.0,-1320.5825241773653
144000.0,-1664.9898855215715
147600.0,-1886.1070178314899
151200.0,-1943.911876526851
154800.0,-1868.4929404713805
158400.0,-1664.2623377144103
162000.0,-1377.6274755420275
165600.0,-1098.1304629913689
169200.0,-820.6451516163444
172800.0,-510.15917551163034
176400.0,-318.0800797825545
180000.0,163.599530550888
183600.0,792.7978184365393
187200.0,1147.2498351629426
190800.0,1602.9294388530188
194400.0,1833.1313976889576
198000.0,1957.1235442597083
201600.0,1926.632295908698
205200.0,1725.20508169024
208800.0,1317.595947244744
212400.0,800.7927324997357
216000.0,245.47006410457882
219600.0,-314.58655726671446
223200.0,-848.4105369623652
226800.0,-1313.6798124179243
230400.0,-1658.3238714109405
234000.0,-1872.1018036542775
237600.0,-1947.5207397097486
241200.0,-1872.1018036542791
244800.0,-1673.2373962393133
248400.0,-1487.4540046875247
252000.0,-1165.417385033703
255600.0,-693.0190257016134
259200.0,-411.9842877807837
262800.0,-129.94074738331315
266400.0,339.21705513529395
270000.0,901.2642146888869
273600.0,1473.4309753584996
277200.0,1756.6539467044158
280800.0,1898.711816996337
284400.0,2125.160503057035
288000.0,2014.596953770518
291600.0,1744.8404141979756
295200.0,1308.4060975145017
298800.0,777.8029388912263
302400.0,218.69311161477748
306000.0,-357.1293027159963
309600.0,-886.5743759087649
313200.0,-1353.502107859555
316800.0,-1711.4043810928918
320400.0,-1925.1823133362377
324000.0,-1993.262049325128
327600.0,-1923.4055080165958
331200.0,-1721.7483885358056
334800.0,-1489.0919554399218
338400.0,-1126.9580922247915
342000.0,-646.768837065814
345600.0,-408.9618413092553
