time,qr
0.0,-2.4492935982947066e-12
3600.0,-2.4492935982947066e-12
7200.0,517.6380902050421
10800.0,999.9999999999968
14400.0,1414.2135623730899
18000.0,1732.0508075688747
21600.0,1931.851652578136
25200.0,2000.0
28800.0,1931.8516525781356
32400.0,1732.050807568881
36000.0,1414.213562373098
39600.0,1000.000000000008
43200.0,517.6380902050479
46800.0,3.979039320256561e-12
50400.0,-517.6380902050403
54000.0,-1000.0000000000011
57600.0,-1414.213562373098
61200.0,-1732.050807568873
64800.0,-1931.8516525781347
68400.0,-1999.9999999999989
72000.0,-1931.8516525781388
75600.0,-1732.0508075688808
79200.0,-1414.2135623730985
82800.0,-1000.000000000002
86400.0,-517.6380902050413
90000.0,2.913225216616411e-12
93600.0,517.6380902050331
97200.0,999.9999999999902
100800.0,1414.2135623730892
104400.0,1732.0508075688745
108000.0,1931.851652578136
111600.0,2000.0
115200.0,1931.8516525781358
118800.0,1732.0508075688813
122400.0,1414.2135623730985
126000.0,1000.0000000000018
129600.0,517.6380902050544
133200.0,-3.9213456798178836e-12
136800.0,-517.6380902050481
140400.0,-999.9999999999962
144000.0,-1414.213562373094
147600.0,-1732.050807568878
151200.0,-1931.851652578134
154800.0,-2000.0
158400.0,-1931.8516525781376
162000.0,-1732.0508075688779
165600.0,-1414.2135623730937
169200.0,-999.9999999999958
172800.0,-517.6380902050477
176400.0,-3.429011037612589e-12
180000.0,517.6380902050411
183600.0,999.9999999999898
187200.0,1414.213562373089
190800.0,1732.0508075688745
194400.0,1931.8516525781358
198000.0,2000.0
201600.0,1931.8516525781358
205200.0,1732.0508075688817
208800.0,1414.213562373099
212400.0,1000.0000000000023
216000.0,517.6380902050548
219600.0,1.077936775504306e-11
223200.0,-517.6380902050477
226800.0,-999.9999999999958
230400.0,-1414.2135623730937
234000.0,-1732.0508075688779
237600.0,-1931.851652578134
241200.0,-2000.0
244800.0,-1931.8516525781376
248400.0,-1732.050807568878
252000.0,-1414.213562373094
255600.0,-999.9999999999962
259200.0,-517.6380902050481
262800.0,-3.91886975727153e-12
266400.0,517.6380902050269
270000.0,1000.0000000000018
273600.0,1414.2135623730885
277200.0,1732.050807568874
280800.0,1931.8516525781358
284400.0,2000.0
288000.0,1931.8516525781397
291600.0,1732.0508075688745
295200.0,1414.2135623730992
298800.0,1000.0000000000149
302400.0,517.6380902050415
306000.0,-2.9416282405000008e-12
309600.0,-517.6380902050334
313200.0,-1000.0000000000075
316800.0,-1414.2135623730933
320400.0,-1732.0508075688706
324000.0,-1931.8516525781376
327600.0,-2000.0
331200.0,-1931.8516525781376
334800.0,-1732.0508075688786
338400.0,-1414.2135623730942
342000.0,-1000.0000000000089
345600.0,-517.6380902050349
