_iter_,RExt,_error_,_method_,occheff,shgc,tmass
1,2.6437500000000003,0.9902928756432406,GA,2.09375,2.625,44.4875
2,2.6437500000000003,0.9902928756432406,GA,2.09375,2.625,44.4875
3,3.8144265759753155,0.980059758487153,GA,1.34375,2.625,44.4875
4,3.8144265759753155,0.980059758487153,GA,1.34375,2.625,44.4875
5,3.8144265759753155,0.980059758487153,GA,1.34375,2.625,44.4875
6,3.8144265759753155,0.980059758487153,GA,1.34375,2.625,44.4875
7,3.8144265759753155,0.980059758487153,GA,1.34375,2.625,44.4875
8,3.8144265759753155,0.960283201670554,GA,1.34375,2.323221505670628,44.4875
9,3.8144265759753155,0.960283201670554,GA,1.34375,2.323221505670628,44.4875
10,3.8144265759753155,0.960283201670554,GA,1.34375,2.323221505670628,44.4875
11,3.8144265759753155,0.960283201670554,GA,1.34375,2.323221505670628,44.4875
12,3.8144265759753155,0.9450214308062916,GA,1.34375,2.2909462414837,41.85589105346812
13,3.8144265759753155,0.9450214308062916,GA,1.34375,2.2909462414837,41.85589105346812
14,3.8144265759753155,0.9273494680644594,GA,1.3909782247967928,2.2909462414837,41.85589105346812
15,3.8144265759753155,0.9273494680644594,GA,1.3909782247967928,2.2909462414837,41.85589105346812
16,3.8144265759753155,0.9273494680644594,GA,1.3909782247967928,2.2909462414837,41.85589105346812
17,3.8144265759753155,0.9273494680644594,GA,1.3909782247967928,2.2909462414837,41.85589105346812
18,3.8144265759753155,0.9273494680644594,GA,1.3909782247967928,2.2909462414837,41.85589105346812
19,4.0,0.8958482239486869,GA,1.5708374611702534,1.743710521296489,41.85589105346812
20,3.8144265759753155,0.8456503697472283,GA,1.5708374611702534,1.743710521296489,41.85589105346812
21,3.8144265759753155,0.8456503697472283,GA,1.5708374611702534,1.743710521296489,41.85589105346812
22,3.8144265759753155,0.8456503697472283,GA,1.5708374611702534,1.743710521296489,41.85589105346812
23,3.8144265759753155,0.8456503697472283,GA,1.5708374611702534,1.743710521296489,41.85589105346812
24,3.7586160672475377,0.8446931132237361,GA,1.5708374611702534,1.743710521296489,41.85589105346812
25,3.8144265759753155,0.8342065868044248,GA,1.5708374611702534,1.6518780982017014,41.85589105346812
26,3.8370171217128726,0.8318252810103743,GA,1.5708374611702534,1.6518780982017014,44.835829636967574
27,3.8144265759753155,0.829402557247786,GA,1.7354175285420599,1.6518780982017014,48.77870099393141
28,3.8144265759753155,0.829402557247786,GA,1.7354175285420599,1.6518780982017014,48.77870099393141
29,3.8144265759753155,0.829402557247786,GA,1.7354175285420599,1.6518780982017014,48.77870099393141
30,4.0,0.8272730671890463,GA,1.5708374611702534,1.6518780982017014,48.77870099393141
31,4.0,0.8272730671890463,GA,1.5708374611702534,1.6518780982017014,48.77870099393141
32,4.0,0.8272730671890463,GA,1.5708374611702534,1.6518780982017014,48.77870099393141
33,4.0,0.8272730671890463,GA,1.5708374611702534,1.6518780982017014,48.77870099393141
34,4.0,0.8272730671890463,GA,1.5708374611702534,1.6518780982017014,48.77870099393141
35,4.0,0.8031138681792449,GA,1.5708374611702534,1.3258232419199023,41.85589105346812
36,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
37,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
38,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
39,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
40,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
41,3.8144265759753155,0.7885235231166904,GA,1.7354175285420599,1.3258232419199023,48.77870099393141
42,3.8144265759753155,0.7872354440409384,GA,1.7551397794061252,1.3258232419199023,47.011893700674484
43,3.8144265759753155,0.7872354440409384,GA,1.7551397794061252,1.3258232419199023,47.011893700674484
44,4.0,0.7817922327594083,GA,1.7428716097437211,0.8087680445229745,41.57710008809323
45,4.0,0.7817922327594083,GA,1.7428716097437211,0.8087680445229745,41.57710008809323
46,4.0,0.7718612972712523,GA,1.7551397794061252,0.8087680445229745,47.011893700674484
47,4.0,0.7718612972712523,GA,1.7551397794061252,0.8087680445229745,47.011893700674484
48,4.0,0.7718612972712523,GA,1.7551397794061252,0.8087680445229745,47.011893700674484
49,4.0,0.7718612972712523,GA,1.7551397794061252,0.8087680445229745,47.011893700674484
50,4.0,0.7718612972712523,GA,1.7551397794061252,0.8087680445229745,47.011893700674484
51,4.0,0.7718612972712523,SCIPY[L-BFGS-B],1.7551397794061252,0.8087680445229745,47.011893700674484
52,4.0,0.7602255728522324,SCIPY[L-BFGS-B],1.7689860646247615,0.910999939366127,46.87660775436282
53,4.0,0.7582199636827001,SCIPY[L-BFGS-B],1.7864043183480298,0.8763556438402131,46.94496828626981
54,4.0,0.7525130282192547,SCIPY[L-BFGS-B],1.8604001732621431,0.6710978438718505,47.36258749194345
55,4.0,0.749573419195331,SCIPY[L-BFGS-B],1.9046445341647673,0.5402501326622096,48.052726483168136
56,4.0,0.7453191946674143,SCIPY[L-BFGS-B],1.9724272325781729,0.3602070506897301,49.72880615692572
57,4.0,0.7443614064270623,SCIPY[L-BFGS-B],1.9781578803258486,0.3650189354182317,50.0
58,4.0,0.7435309726931404,SCIPY[L-BFGS-B],1.953081029373417,0.4556060229726225,50.0
59,4.0,0.7434255921843397,SCIPY[L-BFGS-B],1.942080586759753,0.4862727380088256,50.0
60,4.0,0.7434230763101537,SCIPY[L-BFGS-B],1.9413318668653552,0.4866436046767722,50.0
61,4.0,0.7434230373808326,SCIPY[L-BFGS-B],1.941386323349405,0.4861932681183242,50.0
62,4.0,0.7434230373052854,SCIPY[L-BFGS-B],1.9413943981002855,0.486163648419154,50.0
