time,T
0.0,20.0
3600.0,20.41752919120222
7200.0,21.143955660849315
10800.0,21.875203840645668
14400.0,22.46768175984738
18000.0,22.985204594942445
21600.0,23.390405078325614
25200.0,23.663204141861684
28800.0,23.607182513140856
32400.0,23.539200672217646
36000.0,23.46502373090675
39600.0,23.384344439923495
43200.0,23.316896344718202
46800.0,23.244154192974293
50400.0,23.16898651083534
54000.0,23.08289161395902
57600.0,23.005868849757178
61200.0,22.914994612558758
64800.0,22.8303416166317
68400.0,22.740463839463303
72000.0,22.64853401230988
75600.0,22.588300229890535
79200.0,22.883503450315857
82800.0,23.256863439208132
86400.0,23.202280195147296
90000.0,23.261687935752946
93600.0,23.28786673748948
97200.0,23.294892582339855
100800.0,23.292077970799028
104400.0,23.274683344957282
108000.0,23.21872659733009
111600.0,23.13429122893649
115200.0,23.040049126961605
118800.0,22.94561546985443
122400.0,22.845124577946535
126000.0,22.7437602129919
129600.0,22.652334780156536
133200.0,22.552844140784316
136800.0,22.44139113869562
140400.0,22.33057085126279
144000.0,22.222851108241457
147600.0,22.107026798676543
151200.0,21.99186001939171
154800.0,21.87734703757411
158400.0,21.78574650290841
162000.0,21.695105659672322
165600.0,21.609910358804086
169200.0,21.647855489216397
172800.0,22.101677972279447
176400.0,22.56454871775918
180000.0,23.015464041799476
183600.0,23.38744677236747
187200.0,23.3989447406438
190800.0,23.36674927034977
194400.0,23.33585051188311
198000.0,23.295942284722344
201600.0,23.24460381259439
205200.0,23.185451961715103
208800.0,23.10966059822846
212400.0,23.02444912846761
216000.0,22.92913468691347
219600.0,22.83152285727607
223200.0,22.731626682141837
226800.0,22.63229761429875
230400.0,22.53750686791193
234000.0,22.436441342279238
237600.0,22.333111076415207
241200.0,22.227528928519348
244800.0,22.12156761953645
248400.0,22.020024881399706
252000.0,21.922402755020357
255600.0,21.84665839437895
259200.0,21.824292754307464
262800.0,22.41799674337716
266400.0,23.146077726825183
270000.0,23.83383369075881
273600.0,24.499562819020753
277200.0,25.132304504111403
280800.0,25.10526606517351
284400.0,25.063328408228756
288000.0,25.01756998943864
291600.0,24.978508955223106
295200.0,24.920761197454624
298800.0,24.84446535515241
302400.0,24.761817071463383
306000.0,24.66663611827255
309600.0,24.568845043244323
313200.0,24.47190154679521
316800.0,24.366672136528052
320400.0,24.255852212519073
324000.0,24.14566140946374
327600.0,24.036096155855716
331200.0,23.921767166874474
334800.0,23.810634468535227
338400.0,23.715614056046036
342000.0,23.658327262826617
345600.0,23.642467029393003
349200.0,23.654332887201008
352800.0,23.68415758135575
356400.0,23.71951968113757
360000.0,23.75836967267327
363600.0,23.794864058687665
367200.0,23.82555881731099
370800.0,23.83556268421802
374400.0,23.82398972845772
378000.0,23.792911876305027
381600.0,23.751925814880224
385200.0,23.701933171558608
388800.0,23.64654736503445
392400.0,23.585799012093332
396000.0,23.51688007080827
399600.0,23.445513895124066
403200.0,23.374552862815165
406800.0,23.303994673892873
410400.0,23.23383704142526
414000.0,23.164077691463206
417600.0,23.10131503787312
421200.0,23.04837429820742
424800.0,23.001608904500586
428400.0,22.972180012467902
432000.0,23.08996199802698
435600.0,23.232771578325924
439200.0,23.520190025238094
