time,x0
0,293.15
3600,293.13138075310417
7200,293.1190461738039
10800,293.10144792891504
14400,293.081916933716
18000,293.0987338714958
21600,293.532025521372
25200,294.1028460234712
28800,294.15
32400,294.2958736487733
36000,294.4360709031321
39600,294.46335415023054
43200,294.5025101014166
46800,294.52361370049147
50400,294.4870384747018
54000,294.3232043896776
57600,294.23270527561186
61200,294.1603864840637
64800,294.0675063866875
68400,293.97408706823586
72000,293.89174956331925
75600,293.80169313407094
79200,293.69731455615624
82800,293.5936450569158
86400,293.49396838419847
90000,293.4389258962778
93600,293.3846079794705
97200,293.3309140919893
100800,293.2843981646854
104400,293.22752772798066
108000,293.17749285107806
111600,293.3152032270882
115200,293.98758859787864
118800,294.48716486869097
122400,295.03142318445396
126000,295.50671919405124
129600,295.59295622910327
133200,295.61226711378123
136800,295.591396378972
140400,295.48606283807845
144000,295.46577445045824
147600,295.45373055845295
151200,295.3754513023525
154800,295.04388224636995
158400,294.99088363516677
162000,294.8919757253218
165600,294.7909263563385
169200,294.69053609987395
172800,294.3504058391371
176400,294.290674335793
180000,294.22866895135854
183600,294.1534058283504
187200,294.0533169160605
190800,293.9266184760525
194400,293.7668308499467
198000,293.63160960093944
201600,293.5531245680719
205200,294.1859980709764
208800,295.01673592686154
212400,295.8228624082817
216000,296.59713378986226
219600,297.33584399368254
223200,297.2897887909997
226800,297.17377519780456
230400,296.9918201449897
234000,297.0047181082998
237600,296.94763729038937
241200,296.86725070639113
244800,296.78086696795145
248400,296.6804796994403
252000,296.57749736583503
255600,296.47614080347813
259200,296.3785795885866
