time,cair.T
0,293.15
3600,292.94470185417725
7200,292.78335270056795
10800,292.70433727671127
14400,292.78255326805646
18000,292.866883512694
21600,293.4816064276012
25200,293.9263532410228
28800,294.1499514403852
32400,294.34185733243334
36000,294.51481562951847
39600,294.55957556990757
43200,294.58227945999687
46800,294.5920304768036
50400,294.50630051253296
54000,294.3636796262598
57600,294.323613361891
61200,294.01132643443907
64800,293.67498631602126
68400,293.33984948579024
72000,293.06983592341743
75600,292.8788362059543
79200,292.7253794963248
82800,292.6046591017643
86400,292.5396687828807
90000,292.4790265806494
93600,292.3454059792718
97200,292.48763187208294
100800,292.6555221147424
104400,292.7312623213322
108000,292.89306777554356
111600,293.2524693504345
115200,294.1274496792384
118800,294.6226852339749
122400,295.162703972097
126000,295.6343485211721
129600,295.71958263498794
133200,295.7381357734532
136800,295.7165573648234
140400,295.61049505296614
144000,295.42547335443385
147600,295.17064280803555
151200,294.8494030661365
154800,294.5629028299389
158400,294.2247241139618
162000,293.8855786460715
165600,293.54552001151035
169200,293.2073923997713
172800,292.9032008599087
176400,292.67998110839596
180000,292.635435034568
183600,292.78342642788283
187200,292.92504784069416
190800,293.07423609869414
194400,292.982099707902
198000,292.9993699154022
201600,293.2742763416619
205200,294.0760537812633
208800,294.91048316546244
212400,295.72006950022876
216000,296.4965362289172
219600,297.2373660794951
223200,297.1919212981887
226800,297.0765344823515
230400,296.89513411388515
234000,296.66346166046026
237600,296.3642700468821
241200,296.0429981025418
244800,295.71784466370764
248400,295.48073705234196
252000,295.2424923649067
255600,295.05858812157413
259200,295.1096682795626
