time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.672615355614198,0.0,0.0
7200,19.596599963892743,0.0,0.0
10800,19.489126627261328,0.0,0.0
14400,19.300110379493162,0.0,0.0
18000,19.45124304061784,0.0,0.0
21600,20.057636154138265,0.0,0.0
25200,20.783445527302717,0.0,0.0
28800,21.000450014140483,0.0,0.0
32400,21.223005724801283,0.0,0.0
36000,21.36255459416668,0.0,0.0
39600,21.383316715163346,0.0,0.0
43200,21.423087461690898,0.0,0.0
46800,21.443569376020548,0.0,0.0
50400,21.406126210753143,0.0,0.0
54000,21.29990903410055,0.0,0.0
57600,21.157197416927204,0.0,0.0
61200,20.839994491435164,0.0,0.0
64800,20.50380720016551,0.0,0.0
68400,20.17710405378375,0.0,0.0
72000,19.943905625589935,0.0,0.0
75600,19.76272022497983,0.0,0.0
79200,19.645551612829422,0.0,0.0
82800,19.520023984131342,0.0,0.0
86400,19.427884692285716,0.0,0.0
90000,19.33995275698362,0.0,0.0
93600,19.25767002162047,0.0,0.0
97200,19.17610088688815,0.0,0.0
100800,19.150583385100617,0.0,0.0
104400,19.319475798250664,0.0,0.0
108000,19.499660010614775,0.0,0.0
111600,19.870327436748312,0.0,0.0
115200,20.778720360629507,0.0,0.0
118800,21.277867116751224,0.0,0.0
122400,21.82155361968597,0.0,0.0
126000,22.296558153006572,0.0,0.0
129600,22.383088971372047,0.0,0.0
133200,22.402686657473282,0.0,0.0
136800,22.382177767936753,0.0,0.0
140400,22.277155040077503,0.0,0.0
144000,22.092717625430453,0.0,0.0
147600,21.83891789983818,0.0,0.0
151200,21.64273392947979,0.0,0.0
154800,21.313989243295794,0.0,0.0
158400,20.97634317961746,0.0,0.0
162000,20.637758791811223,0.0,0.0
165600,20.298255641409128,0.0,0.0
169200,20.025303898484708,0.0,0.0
172800,19.942309157432533,0.0,0.0
176400,19.850110647493295,0.0,0.0
180000,19.83191524509391,0.0,0.0
183600,19.725018953373024,0.0,0.0
187200,19.62623837068503,0.0,0.0
190800,19.776214134416705,0.0,0.0
194400,19.933027239483295,0.0,0.0
198000,19.66955267052748,0.0,0.0
201600,20.02323978403956,0.0,0.0
205200,20.663919613248368,0.0,0.0
208800,21.502612562870354,0.0,0.0
212400,22.31632650894477,0.0,0.0
216000,23.098135551855876,0.0,0.0
219600,23.844166054429536,0.0,0.0
223200,23.80013862855401,0.0,0.0
226800,23.686128319088937,0.0,0.0
230400,23.506119970317286,0.0,0.0
234000,23.27575976936123,0.0,0.0
237600,22.978090704308727,0.0,0.0
241200,22.65826863567173,0.0,0.0
244800,22.57866932890539,0.0,0.0
248400,22.239775735306807,0.0,0.0
252000,21.89970804656059,-7199999.994480805,0.0
255600,21.562661873438685,-14399979.865047196,0.0
259200,21.302189585151098,-19111370.902531493,0.0
