time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.917260684955465,0.0,0.0
7200,19.84057081854388,0.0,0.0
10800,19.843989635817366,0.0,0.0
14400,19.845404479210004,0.0,0.0
18000,19.883213242354145,0.0,0.0
21600,20.3383761218077,0.0,0.0
25200,20.931275911074977,0.0,0.0
28800,21.000000000000057,0.0,0.0
32400,21.146270205155133,0.0,0.0
36000,21.286399160750136,0.0,0.0
39600,21.313840769420153,0.0,0.0
43200,21.352752356438884,0.0,0.0
46800,21.373796617181767,0.0,0.0
50400,21.336266257055115,0.0,0.0
54000,21.253775905672796,0.0,0.0
57600,21.042576892474983,0.0,0.0
61200,20.97049321140298,0.0,0.0
64800,20.8780040563135,0.0,0.0
68400,20.785910530653382,0.0,0.0
72000,20.705168419898484,0.0,0.0
75600,20.615427194948722,0.0,0.0
79200,20.511364656617843,0.0,0.0
82800,20.40808214735938,0.0,0.0
86400,20.07360995200122,0.0,0.0
90000,19.968243941017647,0.0,0.0
93600,19.86293787338036,0.0,0.0
97200,19.87073431028921,0.0,0.0
100800,19.904418756398,0.0,0.0
104400,19.936953421814678,0.0,0.0
108000,19.953697409584834,0.0,0.0
111600,20.141473332672604,0.0,0.0
115200,20.849050391984804,0.0,0.0
118800,21.348361796652284,0.0,0.0
122400,21.89236822078675,0.0,0.0
126000,22.367445810145057,0.0,0.0
129600,22.45360704821752,0.0,0.0
133200,22.472857473065346,0.0,0.0
136800,22.451926503845016,0.0,0.0
140400,22.34653318502069,0.0,0.0
144000,22.32101485910289,0.0,0.0
147600,22.29310059396687,0.0,0.0
151200,22.214820317643557,0.0,0.0
154800,22.127592272611764,0.0,0.0
158400,22.03007507536762,0.0,0.0
162000,21.93024800927094,0.0,0.0
165600,21.830299198002592,0.0,0.0
169200,21.72902486811506,0.0,0.0
172800,21.632925504189984,0.0,0.0
176400,21.52331182073692,0.0,0.0
180000,21.417788117477073,0.0,0.0
183600,21.294341821180296,0.0,0.0
187200,21.17606729073958,0.0,0.0
190800,21.059358813799236,0.0,0.0
194400,20.898935057679125,0.0,0.0
198000,20.73971952820989,0.0,0.0
201600,20.597024749894047,0.0,0.0
205200,21.22451268740292,0.0,0.0
208800,22.049084043138123,0.0,0.0
212400,22.849419464163475,0.0,0.0
216000,23.618056927618,0.0,0.0
219600,24.35142038827553,0.0,0.0
223200,24.304368148011292,0.0,0.0
226800,24.18742026262629,0.0,0.0
230400,24.004514364033582,0.0,0.0
234000,24.015764373312493,0.0,0.0
237600,23.959803504955175,0.0,0.0
241200,23.634091816397245,0.0,0.0
244800,23.54794223851627,-10861.399968471504,0.0
248400,23.44729269797722,-33825.44545730998,0.0
252000,23.34395009070431,-59133.31822886876,0.0
255600,23.243277817447165,-53131.895733631616,0.0
259200,23.133542745375507,-49219.98293230839,0.0
