time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.886866955329594,0.0,0.0
7200,19.753963555193536,0.0,0.0
10800,19.623004843299555,0.0,0.0
14400,19.54194687705302,0.0,0.0
18000,19.495602725914125,0.0,0.0
21600,19.915492716055383,0.0,0.0
25200,20.671814108232752,0.0,0.0
28800,20.896266622204053,0.0,0.0
32400,21.04320234490274,0.0,0.0
36000,21.198818741496154,0.0,0.0
39600,21.2314433980265,0.0,0.0
43200,21.27101966147825,0.0,0.0
46800,21.295450656883304,0.0,0.0
50400,21.259330550852667,0.0,0.0
54000,21.177722018529778,0.0,0.0
57600,21.086079631275084,0.0,0.0
61200,20.83571842715196,0.0,0.0
64800,20.64149403411426,0.0,0.0
68400,20.550370416564817,0.0,0.0
72000,20.474138408446265,0.0,0.0
75600,20.386467422627163,0.0,0.0
79200,20.226731155834386,0.0,0.0
82800,20.06550946956139,0.0,0.0
86400,19.890089096491124,0.0,0.0
90000,19.721772489354407,0.0,0.0
93600,19.592530644286683,0.0,0.0
97200,19.48844355745331,0.0,0.0
100800,19.402286711786417,0.0,0.0
104400,19.323794889308033,0.0,0.0
108000,19.25947548542291,0.0,0.0
111600,19.6329909038796,0.0,0.0
115200,20.546943623046502,0.0,0.0
118800,21.09698634450376,0.0,0.0
122400,21.646684399091328,0.0,0.0
126000,22.1257261552812,0.0,0.0
129600,22.213490777329582,0.0,0.0
133200,22.23406388255836,0.0,0.0
136800,22.214482265064134,0.0,0.0
140400,22.110498758378583,0.0,0.0
144000,22.138469258143232,0.0,0.0
147600,21.884411781347637,0.0,0.0
151200,21.697670633900373,0.0,0.0
154800,21.579500481753257,0.0,0.0
158400,21.484932223684893,0.0,0.0
162000,21.143458978945432,0.0,0.0
165600,20.92612025005411,0.0,0.0
169200,20.82974580437343,0.0,0.0
172800,20.62946272900257,0.0,0.0
176400,20.334039039015238,0.0,0.0
180000,20.162415706070476,0.0,0.0
183600,20.062494440325338,0.0,0.0
187200,19.961944387588744,0.0,0.0
190800,19.731504849400892,0.0,0.0
194400,19.57712906806961,0.0,0.0
198000,19.804830845319998,0.0,0.0
201600,20.157618877451,0.0,0.0
205200,20.797383867843564,0.0,0.0
208800,21.636022663315998,0.0,0.0
212400,22.448335086376346,0.0,0.0
216000,23.228670584155907,0.0,0.0
219600,23.97318240795755,0.0,0.0
223200,23.928424654171636,0.0,0.0
226800,23.8135932258906,0.0,0.0
230400,23.632849098251256,0.0,0.0
234000,23.401689582279744,0.0,0.0
237600,23.36145219869138,0.0,0.0
241200,23.039277595488784,0.0,0.0
244800,22.712514686934185,0.0,0.0
248400,22.372663671760733,0.0,0.0
252000,22.324679131345704,0.0,0.0
255600,22.095672393113375,0.0,0.0
259200,21.985083528170946,-212872.757397058,0.0
