datetime,T,CO2,solrad,Tout,occ,dpos,vpos
2018-04-04 08:00:00,21.572727376764472,615.520009358724,364.3733317057292,11.0,19.7,0.0,13.165266241346087
2018-04-04 08:30:00,20.866666793823242,888.8685738699777,396.05332946777344,10.5,20.033333333333335,0.0,19.396681455465462
2018-04-04 09:00:00,21.433333079020183,1168.7314278738838,112.35999806722005,9.5,40.266666666666666,0.0,1.9607843160629272
2018-04-04 09:30:00,21.979999923706053,1311.0399932861328,95.68000030517578,9.5,39.43333333333333,0.0,1.9607843160629272
2018-04-04 10:00:00,20.95185188010887,990.719988141741,194.32000223795572,9.5,40.1,0.0,29.575163662433624
2018-04-04 10:30:00,22.10000010899135,1457.645717075893,65.33333333333333,9.5,36.56666666666667,0.0,7.385620931784312
2018-04-04 11:00:00,22.65999984741211,1709.2266642252605,80.34666442871094,9.0,33.733333333333334,0.0,7.385620931784312
2018-04-04 11:30:00,23.09999990463257,1906.5599975585938,82.02666727701823,9.0,34.7,0.0,7.385620931784312
2018-04-04 12:00:00,22.25882350697237,1315.7415583683894,87.68000030517578,10.5,32.0,0.0,3.529411768913269
2018-04-04 12:30:00,23.60000010899135,1524.3733520507812,190.34666442871094,10.5,29.966666666666665,0.0,3.529411768913269
2018-04-04 13:00:00,23.299999918256486,1516.0888807508682,188.7199961344401,10.5,23.933333333333334,0.0,3.529411768913269
2018-04-04 13:30:00,24.5,1845.394287109375,275.0933329264323,10.5,26.233333333333334,0.0,3.529411768913269
2018-04-04 14:00:00,22.965217341547426,1300.693339029948,370.02667236328125,11.5,26.233333333333334,0.0,3.529411768913269
2018-04-04 14:30:00,24.200000029343826,1060.400016784668,263.67999267578125,11.5,8.666666666666666,0.0,3.529411768913269
2018-04-04 15:00:00,24.89999993642171,1476.5714460100446,98.0,11.5,0.0,0.0,3.529411768913269
2018-04-04 15:30:00,25.299999872843426,1607.4666544596355,45.0,10.5,0.0,0.0,3.529411768913269
2018-04-04 16:00:00,25.074999809265137,1213.4400177001953,11.0,9.5,0.0,0.0,3.529411768913269
2018-04-04 16:30:00,24.700000127156574,848.9600016276041,5.5,9.5,0.0,0.0,3.529411768913269
2018-04-04 17:00:00,24.449999809265137,741.8514229910714,5.5,8.399999618530273,0.0,0.0,3.529411768913269
2018-04-04 17:30:00,24.200000127156574,674.4320068359375,5.5,7.399999618530273,0.3,0.0,3.529411768913269
2018-04-04 18:00:00,24.0,629.5771484375,5.5,6.399999618530273,0.0,0.0,3.529411768913269
2018-04-04 18:30:00,23.357142857142858,574.7200012207031,5.5,7.899999618530273,0.0,45.09803771972656,3.529411768913269
2018-04-04 19:00:00,22.85000006357829,502.34666442871094,5.5,9.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 19:30:00,23.299999872843426,491.0400034586589,5.5,9.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 20:00:00,23.5,492.0533396402995,5.5,8.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 20:30:00,23.5,504.1599985758464,5.5,8.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 21:00:00,23.600000381469727,512.5333404541016,5.5,8.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 21:30:00,23.5,535.6159912109375,5.5,7.399999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 22:00:00,23.5,540.3733418782552,5.5,5.899999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 22:30:00,23.5,559.5999908447266,5.5,5.899999618530273,0.0,19.60784339904785,3.529411768913269
2018-04-04 23:00:00,23.5,600.0,5.5,5.899999618530273,0.9666666666666667,45.09803771972656,3.529411768913269
2018-04-04 23:30:00,23.5,606.7733256022135,5.5,4.894999980926514,0.3,45.09803771972656,3.529411768913269
2018-04-05 00:00:00,23.5,538.6666666666666,5.5,4.894999980926514,0.0,45.09803771972656,3.529411768913269
2018-04-05 00:30:00,23.5,585.8133239746094,5.5,4.894999980926514,0.0,45.09803771972656,3.529411768913269
2018-04-05 01:00:00,23.399999618530273,692.1066589355469,5.5,5.899999618530273,0.0,0.0,3.529411768913269
2018-04-05 01:30:00,23.399999618530273,568.4114292689732,5.5,5.899999618530273,0.0,0.0,3.529411768913269
2018-04-05 02:00:00,23.299999237060547,526.9866739908854,5.5,4.894999980926514,0.0,0.0,3.529411768913269
2018-04-05 02:30:00,23.299999237060547,512.1600036621094,5.5,4.894999980926514,0.0,0.0,3.529411768913269
2018-04-05 03:00:00,23.200000762939453,497.17332967122394,5.5,4.390000343322754,0.0,0.0,3.529411768913269
2018-04-05 03:30:00,23.200000762939453,498.1866709391276,5.5,4.390000343322754,0.03333333333333333,0.0,3.529411768913269
2018-04-05 04:00:00,23.200000762939453,482.55999755859375,5.5,5.399999618530273,1.0333333333333334,0.0,3.529411768913269
2018-04-05 04:30:00,23.050000190734863,486.91199951171876,5.5,4.894999980926514,1.9333333333333333,0.0,3.529411768913269
2018-04-05 05:00:00,22.900000254313152,491.6266682942708,5.5,4.894999980926514,16.2,19.60784339904785,3.529411768913269
2018-04-05 05:30:00,22.399999618530273,479.87200317382815,8.5,4.390000343322754,26.0,19.60784339904785,3.529411768913269
2018-04-05 06:00:00,22.200000127156574,509.22666931152344,28.0,5.399999618530273,26.3,19.60784339904785,3.529411768913269
2018-04-05 06:30:00,21.899999618530273,657.0880126953125,185.04000091552734,6.899999618530273,23.633333333333333,45.09803771972656,3.529411768913269
2018-04-05 07:00:00,22.0,646.1866658528646,41.333333333333336,8.399999618530273,0.8333333333333334,45.09803771972656,3.529411768913269
