time,x0
0,293.15
3600,293.04585943541315
7200,292.94632129991606
10800,292.84080881106445
14400,292.73576304414235
18000,292.68225656849864
21600,293.07060697465704
25200,293.8269591816383
28800,293.96508057690573
32400,294.152220850427
36000,294.2932420880997
39600,294.31469804980026
43200,294.3475040035087
46800,294.3549469417871
50400,294.2984289961284
54000,294.20630165193467
57600,294.1147251339298
61200,294.01835536783375
64800,293.900021797073
68400,293.7815452358212
72000,293.6738739139239
75600,293.55681921706395
79200,293.4259995897598
82800,293.29604100816243
86400,293.16774623207255
90000,293.0310829008559
93600,292.8951778760422
97200,292.7609668857253
100800,292.65419982418234
104400,292.55124983132015
108000,292.4889124722157
111600,292.8616630300624
115200,293.77373462239404
118800,294.6114954633726
122400,295.3069894262292
126000,295.77678806512483
129600,295.861118762981
133200,295.8789085348727
136800,295.8565193762175
140400,295.7496784014166
144000,295.6926766390635
147600,295.6628326698376
151200,295.56224184965305
154800,295.44971009662936
158400,295.32635578452164
162000,295.2000720563835
165600,295.07161978642074
169200,294.9439362332428
172800,294.8205056373944
176400,294.68974429461304
180000,294.55608853621675
183600,294.4196080999709
187200,294.28469342615193
190800,294.1561584683702
194400,294.0544385495023
198000,294.0487783947715
201600,294.1484415317603
205200,294.9321095440442
208800,295.73844312083094
212400,296.5216510847659
216000,297.27362579382907
219600,297.99117347073826
223200,297.9411709870468
226800,297.82145696066686
230400,297.6357376953233
234000,297.50945239772176
237600,297.3664617644645
241200,297.2525732064877
244800,297.141655479061
248400,297.0161844819931
252000,296.88688156680405
255600,296.75815669809754
259200,296.63186973770183
