time,qr
0,-175.6338307079642
3600,-189.47836101480684
7200,-196.29451347850065
10800,-176.89730558991482
14400,-55.98628816447307
18000,107.52304486838611
21600,2000.0
25200,1294.5283939110334
28800,322.6219184512695
32400,-2.3110840386702898
36000,-55.06493022462759
39600,-60.046263709445995
43200,-128.14925991536367
46800,-171.707956615456
50400,-90.11161548590569
54000,-18.193703424090728
57600,-202.03499521362124
61200,-215.98933968971136
64800,-218.31968384011032
68400,-227.10541445367787
72000,-231.5800823181868
75600,-231.63338428641728
79200,-230.66591647285327
82800,-246.37606651695646
86400,-246.4068426452404
90000,-246.55007490282222
93600,-239.01127270469914
97200,-230.94729608061712
100800,-204.06299833137297
104400,20.221825432577923
108000,1999.9999999999995
111600,1999.9999999999995
115200,747.402611387352
118800,-730.4710673129274
122400,-1999.9999999999905
126000,-2000.0
129600,-1999.999999999999
133200,-1999.9999999994732
136800,-2000.0
140400,-943.7388036446481
144000,-148.99348683443392
147600,-174.00629866365904
151200,-196.98202183328607
154800,-202.90525077702293
158400,-209.37109081922046
162000,-209.7549050747175
165600,-209.43212929482337
169200,-216.47075243279366
172800,-223.03760112165372
176400,-229.56100074935975
180000,-235.6488253618161
183600,-222.83425733668395
187200,-206.50480368706337
190800,-55.70535847013848
194400,154.48325776889078
198000,-9.664965119266403
201600,-617.1545648948827
205200,-2000.0
208800,-1999.9999999985898
212400,-2000.0
216000,-1999.999999995475
219600,-2000.0
223200,-1999.9999999977565
226800,-1999.9999999999955
230400,-1098.4579400873254
234000,-679.1946600694257
237600,-254.60460727169266
241200,-181.73066896513703
244800,-188.59855778724767
248400,-199.74717521601588
252000,-208.6277048054789
255600,-224.09417119201146
259200,-224.09417119201146
