time,qr
0,-177.32611146094965
3600,-188.37375690209976
7200,718.9874210835892
10800,799.2930827799198
14400,1027.5094964733007
18000,1585.3198968089143
21600,1213.672487959227
25200,57.750274010047754
28800,145.3774384951086
32400,-89.72388722280209
36000,-55.44362068058495
39600,-60.45931100850555
43200,-128.37715768630852
46800,-170.86625685604105
50400,-192.05132392194605
54000,-156.31733619955608
57600,-201.53643112253883
61200,-217.20249590425425
64800,-219.76200216283402
68400,-228.59105215252328
72000,-233.7877268895296
75600,-232.94872094868748
79200,-231.99171265270098
82800,-247.29442450784444
86400,-247.44679133499213
90000,-247.0519677565342
93600,139.28441631890092
97200,176.68538585667656
100800,213.1613180154097
104400,476.4289854206992
108000,1262.1255027767209
111600,1999.999999999919
115200,-752.5293195190148
118800,-1120.376545003739
122400,-1999.9999999999975
126000,-2000.0
129600,-2000.0
133200,-2000.0
136800,-1999.9999999997633
140400,-1054.4292337875074
144000,-149.66456196360616
147600,-175.26721429712043
151200,-198.39787723814754
154800,-204.20328960802163
158400,-209.3784553132335
162000,-210.1218052806056
165600,-208.80485215844283
169200,-216.80735105233597
172800,-223.49872613230846
176400,-230.09187947511148
180000,-236.39372140352992
183600,-665.2188670756346
187200,-1138.5877479934863
190800,-1067.1274232693395
194400,-793.3662915688437
198000,53.24069490616976
201600,-1481.0378875271988
205200,-1999.9999999994952
208800,-1999.999999999993
212400,-2000.0
216000,-2000.0
219600,-1999.99999999996
223200,-1999.9999999994257
226800,-1999.9999999997738
230400,-117.85244779555713
234000,-159.9032212984904
237600,-179.15347240999512
241200,-183.50608617204566
244800,-183.50608617204566
248400,-187.01777403192565
252000,-195.64430524331328
255600,-204.22512906378975
259200,-216.08338992573812
