time,Tmin,Tmax
0,292.15,297.15
3600,292.15,297.15
7200,292.15,297.15
10800,292.15,297.15
14400,292.15,297.15
18000,292.15,297.15
21600,292.15,297.15
25200,292.15,297.15
28800,294.15,295.15
32400,294.15,295.15
36000,294.15,295.15
39600,294.15,295.15
43200,294.15,295.15
46800,294.15,295.15
50400,294.15,295.15
54000,294.15,295.15
57600,294.15,295.15
61200,292.15,297.15
64800,292.15,297.15
68400,292.15,297.15
72000,292.15,297.15
75600,292.15,297.15
79200,292.15,297.15
82800,292.15,297.15
86400,292.15,297.15
90000,292.15,297.15
93600,292.15,297.15
97200,292.15,297.15
100800,292.15,297.15
104400,292.15,297.15
108000,292.15,297.15
111600,292.15,297.15
115200,294.15,295.15
118800,294.15,295.15
122400,294.15,295.15
126000,294.15,295.15
129600,294.15,295.15
133200,294.15,295.15
136800,294.15,295.15
140400,294.15,295.15
144000,294.15,295.15
147600,292.15,297.15
151200,292.15,297.15
154800,292.15,297.15
158400,292.15,297.15
162000,292.15,297.15
165600,292.15,297.15
169200,292.15,297.15
172800,292.15,297.15
176400,292.15,297.15
180000,292.15,297.15
183600,292.15,297.15
187200,292.15,297.15
190800,292.15,297.15
194400,292.15,297.15
198000,292.15,297.15
201600,294.15,295.15
205200,294.15,295.15
208800,294.15,295.15
212400,294.15,295.15
216000,294.15,295.15
219600,294.15,295.15
223200,294.15,295.15
226800,294.15,295.15
230400,294.15,295.15
234000,292.15,297.15
237600,292.15,297.15
241200,292.15,297.15
244800,292.15,297.15
248400,292.15,297.15
252000,292.15,297.15
255600,292.15,297.15
259200,292.15,297.15
