time,vpos
0,-8.866305573047482
3600,-9.418687845104987
7200,35.94937105417946
10800,39.96465413899599
14400,51.37547482366504
18000,79.26599484044571
21600,60.68362439796135
25200,2.8875137005023874
28800,7.268871924755431
32400,-4.486194361140104
36000,-2.772181034029247
39600,-3.0229655504252775
43200,-6.418857884315426
46800,-8.543312842802052
50400,-9.602566196097301
54000,-7.815866809977805
57600,-10.07682155612694
61200,-10.860124795212712
64800,-10.988100108141701
68400,-11.429552607626164
72000,-11.68938634447648
75600,-11.647436047434374
79200,-11.59958563263505
82800,-12.364721225392222
86400,-12.372339566749606
90000,-12.35259838782671
93600,6.964220815945047
97200,8.834269292833827
100800,10.658065900770486
104400,23.821449271034957
108000,63.10627513883604
111600,99.99999999999595
115200,-37.62646597595074
118800,-56.01882725018695
122400,-99.99999999999987
126000,-100.0
129600,-100.0
133200,-100.0
136800,-99.99999999998816
140400,-52.721461689375374
144000,-7.483228098180309
147600,-8.763360714856022
151200,-9.919893861907376
154800,-10.210164480401081
158400,-10.468922765661675
162000,-10.506090264030279
165600,-10.44024260792214
169200,-10.840367552616799
172800,-11.174936306615422
176400,-11.504593973755574
180000,-11.819686070176497
183600,-33.26094335378173
187200,-56.92938739967431
190800,-53.356371163466974
194400,-39.668314578442185
198000,2.6620347453084876
201600,-74.05189437635994
205200,-99.99999999997476
208800,-99.99999999999964
212400,-100.0
216000,-100.0
219600,-99.999999999998
223200,-99.99999999997128
226800,-99.99999999998869
230400,-5.892622389777856
234000,-7.9951610649245195
237600,-8.957673620499756
241200,-9.175304308602284
244800,-9.350888701596283
248400,-9.782215262165664
252000,-10.211256453189488
255600,-10.804169496286905
259200,-11.223783515935878
