_iter_,RExt,_error_,_method_,occheff,shgc,tmass
1,2.90625,1.1585454548332248,GA,1.8437500000000002,6.625000000000001,42.03750000000001
2,2.90625,1.1585454548332248,GA,1.8437500000000002,6.625000000000001,42.03750000000001
3,3.8144265759753155,1.0575559498143685,GA,2.09375,3.317795459241022,44.4875
4,3.4312500000000004,1.036664910252745,GA,1.8437500000000002,5.875000000000002,42.03750000000001
5,3.9562500000000003,0.9552575187132526,GA,1.8437500000000002,5.202675236395863,42.03750000000001
6,3.9562500000000003,0.9552575187132526,GA,1.8437500000000002,5.202675236395863,42.03750000000001
7,3.9562500000000003,0.9552575187132526,GA,1.8437500000000002,5.202675236395863,42.03750000000001
8,3.9562500000000003,0.9552575187132526,GA,1.8437500000000002,5.202675236395863,42.03750000000001
9,3.9562500000000003,0.9552575187132526,GA,1.8437500000000002,5.202675236395863,42.03750000000001
10,3.8359282756936524,0.9340772583297825,GA,1.8099487171593691,5.202675236395863,44.26479539979166
11,3.8359282756936524,0.9340772583297825,GA,1.8099487171593691,5.202675236395863,44.26479539979166
12,3.8359282756936524,0.9340772583297825,GA,1.8099487171593691,5.202675236395863,44.26479539979166
13,3.9562500000000003,0.918444491497658,GA,1.823878692663184,5.202675236395863,44.26479539979166
14,3.9562500000000003,0.9183862425473405,GA,1.8437500000000002,5.202675236395863,44.26479539979166
15,3.9562500000000003,0.9183862425473405,GA,1.8437500000000002,5.202675236395863,44.26479539979166
16,3.9562500000000003,0.9183862425473405,GA,1.8437500000000002,5.202675236395863,44.26479539979166
17,3.9562500000000003,0.9183862425473405,GA,1.8437500000000002,5.202675236395863,44.26479539979166
18,3.9562500000000003,0.9183862425473405,GA,1.8437500000000002,5.202675236395863,44.26479539979166
19,4.0,0.8734189498285286,GA,1.8437500000000002,5.202675236395863,47.57471065727534
20,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
21,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
22,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
23,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
24,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
25,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
26,3.9562500000000003,0.8611629333432651,GA,2.035100266635555,4.458640623968439,48.665415961745246
27,3.9562500000000003,0.8610839006573843,GA,2.0359138093216678,4.458640623968439,48.665415961745246
28,3.9562500000000003,0.854292469151659,GA,2.035100266635555,4.345350147238529,50.0
29,3.9562500000000003,0.8423709290570072,GA,2.176045646993276,4.458640623968439,50.0
30,3.9562500000000003,0.842192191154033,GA,2.1056005403084432,4.458640623968439,50.0
31,3.9562500000000003,0.842192191154033,GA,2.1056005403084432,4.458640623968439,50.0
32,3.9562500000000003,0.842192191154033,GA,2.1056005403084432,4.458640623968439,50.0
33,3.9562500000000003,0.8415529944670322,GA,2.1475874643676347,4.458640623968439,50.0
34,3.9562500000000003,0.8415529944670322,GA,2.1475874643676347,4.458640623968439,50.0
35,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
36,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
37,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
38,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
39,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
40,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
41,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
42,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
43,3.9562500000000003,0.840566549585726,GA,2.1056005403084432,4.575173103269126,50.0
44,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
45,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
46,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
47,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
48,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
49,4.0,0.8365834102745131,GA,2.1056005403084432,4.575173103269126,50.0
50,4.0,0.8364754169046564,GA,2.091012929484065,4.575173103269126,50.0
51,4.0,0.8364754169046564,SCIPY[L-BFGS-B],2.091012929484065,4.575173103269126,50.0
52,4.0,0.8364549033581473,SCIPY[L-BFGS-B],2.0916637410305934,4.590233570764169,50.0
53,4.0,0.8364507314874883,SCIPY[L-BFGS-B],2.090643446072562,4.59267351088325,50.0
54,4.0,0.8364375256343207,SCIPY[L-BFGS-B],2.0836833493057982,4.609015873815096,50.0
55,4.0,0.8364375255440302,SCIPY[L-BFGS-B],2.0836965146621127,4.6089641567718935,50.0
