time,vpos
0,16.10437267905288
3600,63.03965670044648
7200,-3.41464841963978
10800,-44.74601218713483
14400,-0.2202598045343243
18000,-20.591791003961145
21600,99.99849922150132
25200,99.97868120343709
28800,-0.9129182520268336
32400,-3.0833909216157576
36000,-13.088569874094363
39600,-0.2833014779101941
43200,40.08731141595155
46800,0.2232870861136602
50400,-88.22060367903815
54000,-1.9715927427843771
57600,-51.42160683196649
61200,-77.75364845142029
64800,-99.99999999996379
68400,-36.25446046792161
72000,-55.70754311945757
75600,-22.629295241040037
79200,9.922724281272618
82800,33.08576746715048
86400,19.983475062981746
90000,28.289256596984703
93600,-4.091583240193455
97200,13.796108121300666
100800,1.8368619055584747
104400,15.527213397490131
108000,95.26601953744776
111600,99.99999999965901
115200,-99.99999999992878
118800,-99.99999999998339
122400,-99.99999999999997
126000,-99.99999999999426
129600,-99.99999999987584
133200,-99.99999999999982
136800,-99.99999999997151
140400,-99.9999999142369
144000,-97.38689059875571
147600,-89.8295975576938
151200,-69.93752599528533
154800,-74.32564190870154
158400,-29.030645105766705
162000,-74.3934647299926
165600,-47.50364077387734
169200,-39.74739270464508
172800,70.64848355489278
176400,80.03940693974516
180000,83.57051388756771
183600,86.78629003402715
187200,96.55116207980687
190800,88.8901094153104
194400,31.341728382288668
198000,99.99207303585547
201600,-99.33626738072778
205200,-100.0
208800,-100.0
212400,-100.0
216000,-100.0
219600,-99.99999999981902
223200,-100.0
226800,-100.0
230400,-99.89992142720968
234000,-99.03615880009693
237600,-99.51807838662363
241200,-99.99999898657516
244800,-100.0
248400,-99.81803411069235
252000,-99.8180312323627
255600,-49.47829614018599
259200,1.0434019629687126
